INFO:werkzeug: * Detected change in '/home/cserv1_a/soc_msc/sc21ak/Webdev/cwk2/app/views.py', reloading
2022-12-15 08:44:41,690 INFO werkzeug Thread-68 : 127.0.0.1 - - [15/Dec/2022 08:44:41] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:44:42,390 INFO app Thread-69 : Item Removed from List
2022-12-15 08:44:42,390 INFO werkzeug Thread-69 : 127.0.0.1 - - [15/Dec/2022 08:44:42] "[32mPOST /remove_from_cart/1 HTTP/1.1[0m" 302 -
2022-12-15 08:44:42,447 INFO werkzeug Thread-70 : 127.0.0.1 - - [15/Dec/2022 08:44:42] "GET /landing_page HTTP/1.1" 200 -
2022-12-15 08:44:42,464 INFO werkzeug Thread-71 : 127.0.0.1 - - [15/Dec/2022 08:44:42] "[36mGET /static/fontawesome-free-6.2.1-web/css/all.css HTTP/1.1[0m" 304 -
2022-12-15 08:44:42,465 INFO werkzeug Thread-72 : 127.0.0.1 - - [15/Dec/2022 08:44:42] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 08:44:42,479 INFO werkzeug Thread-73 : 127.0.0.1 - - [15/Dec/2022 08:44:42] "[33mGET /None HTTP/1.1[0m" 404 -
2022-12-15 09:17:01,263 INFO werkzeug MainThread :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-12-15 09:17:16,263 INFO werkzeug Thread-1 : 127.0.0.1 - - [15/Dec/2022 09:17:16] "GET / HTTP/1.1" 200 -
2022-12-15 09:17:16,307 INFO werkzeug Thread-2 : 127.0.0.1 - - [15/Dec/2022 09:17:16] "GET /static/js/scripts.js HTTP/1.1" 200 -
2022-12-15 09:17:16,339 INFO werkzeug Thread-3 : 127.0.0.1 - - [15/Dec/2022 09:17:16] "GET /static/sld3.jpg HTTP/1.1" 200 -
2022-12-15 09:17:16,340 INFO werkzeug Thread-4 : 127.0.0.1 - - [15/Dec/2022 09:17:16] "GET /static/sld2.jpg HTTP/1.1" 200 -
2022-12-15 09:17:16,341 INFO werkzeug Thread-5 : 127.0.0.1 - - [15/Dec/2022 09:17:16] "GET /static/bags.jpg HTTP/1.1" 200 -
2022-12-15 09:17:16,414 INFO werkzeug Thread-6 : 127.0.0.1 - - [15/Dec/2022 09:17:16] "[33mGET /assets/favicon.ico HTTP/1.1[0m" 404 -
